"name","gender","ethnicity","quality","call","city","jobs","experience","honors","volunteer","military","holes","school","email","computer","special","college","minimum","equal","wanted","requirements","reqexp","reqcomm","reqeduc","reqcomp","reqorg","industry"
"Allison","female","cauc","low",FALSE,"chicago",2,6,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"5",TRUE,"supervisor",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"manufacturing"
"Kristen","female","cauc","high",FALSE,"chicago",3,6,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"5",TRUE,"supervisor",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"manufacturing"
"Lakisha","female","afam","low",FALSE,"chicago",1,6,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"5",TRUE,"supervisor",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"manufacturing"
"Latonya","female","afam","high",FALSE,"chicago",4,6,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"5",TRUE,"supervisor",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"manufacturing"
"Carrie","female","cauc","high",FALSE,"chicago",3,22,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"some",TRUE,"secretary",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,"health/education/social services"
"Jay","male","cauc","low",FALSE,"chicago",2,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"none",TRUE,"other",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"trade"
"Jill","female","cauc","high",FALSE,"chicago",2,5,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"none",TRUE,"other",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"trade"
"Kenya","female","afam","high",FALSE,"chicago",4,21,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"some",TRUE,"secretary",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,"health/education/social services"
"Latonya","female","afam","low",FALSE,"chicago",3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"none",TRUE,"other",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"trade"
"Tyrone","male","afam","high",FALSE,"chicago",2,6,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,"none",TRUE,"other",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"trade"
